,name,company,year,Price,kms_driven,fuel_type
1739,Hyundai Grand i10 Sportz,Hyundai,2017,509999,25000,Petrol
1740,Tata Zest Quadrajet 1.3 75PS XE,Tata,2019,650000,15000,Diesel
1741,Maruti Alto K10 2010-2014 VXI,Maruti,2011,210000,35000,Petrol
1742,Maruti Alto LXi,Maruti,2008,110000,80000,Petrol
1743,Tata Nexon 1.5 Revotorq XE,Tata,2017,665000,25000,Diesel
1744,Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,2017,555000,52000,Diesel
1745,Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,2017,560000,52000,Diesel
1746,Mahindra KUV 100 mFALCON D75 K6 Plus,Mahindra,2016,375000,80000,Diesel
1747,Maruti Swift VDI BSIV W ABS,Maruti,2011,290000,77000,Diesel
1748,Toyota Fortuner 2.8 4WD AT BSIV,Toyota,2017,2950000,50000,Diesel
1749,Maruti Swift Dzire VDI,Maruti,2017,605000,127000,Diesel
1750,Honda WR-V i-VTEC VX,Honda,2017,720000,30000,Petrol
1751,Maruti Ertiga SHVS ZDI Plus,Maruti,2017,800000,70000,Diesel
1752,Mahindra XUV500 W10 2WD,Mahindra,2017,1325000,54000,Diesel
1753,Mitsubishi Pajero 2.8 SFX BSIII Single Tone,Mitsubishi,2011,625000,120000,Diesel
1754,Hyundai i20 1.4 CRDi Sportz,Hyundai,2011,350000,116500,Diesel
1755,Toyota Innova 2.5 G (Diesel) 8 Seater,Toyota,2012,600000,145000,Diesel
1756,Hyundai i20 Sportz 1.2,Hyundai,2012,300000,120000,Petrol
1757,Tata New Safari DICOR 2.2 VX 4x2 BS IV,Tata,2011,240000,120000,Diesel
1758,Ford Figo 1.5D Trend MT,Ford,2016,377000,80000,Diesel
1759,Maruti Ertiga VXI,Maruti,2013,450000,140000,Petrol
1760,Hyundai Verna Xi (Petrol),Hyundai,2008,160000,100000,Petrol
1761,Hyundai Xcent 1.2 VTVT E,Hyundai,2019,525000,100000,Petrol
1762,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2011,550000,168000,Diesel
1763,Chevrolet Cruze LTZ,Chevrolet,2010,270000,120000,Diesel
1764,Toyota Etios GD,Toyota,2016,570000,145000,Diesel
1765,Ford Figo Diesel Titanium,Ford,2011,225000,90000,Diesel
1766,Hyundai Xcent 1.2 VTVT S,Hyundai,2019,590000,90000,Petrol
1767,Jeep Compass 2.0 Longitude Option BSIV,Jeep,2018,1675000,80000,Diesel
1768,Ford Aspire Titanium BSIV,Ford,2019,800000,33000,Petrol
1769,Chevrolet Sail 1.2 LS ABS,Chevrolet,2014,450000,13500,Petrol
1770,Tata Indigo LX,Tata,2012,300000,80000,Diesel
1771,Hyundai i20 1.2 Spotz,Hyundai,2017,645000,20000,Petrol
1772,Maruti Swift Dzire VDI,Maruti,2013,520000,58000,Diesel
1773,Hyundai EON Magna Plus,Hyundai,2013,200000,40000,Petrol
1774,Honda City i VTEC V,Honda,2015,700000,30000,Petrol
1775,Maruti 800 AC,Maruti,2000,45000,50000,Petrol
1776,Ford Figo Aspire 1.5 TDCi Ambiente,Ford,2016,459999,73000,Diesel
1777,Maruti Ritz VDi,Maruti,2014,325000,90000,Diesel
1778,Maruti Wagon R VXI BS IV,Maruti,2015,350000,50000,Petrol
1779,Hyundai Verna 1.6 CRDI,Hyundai,2011,440000,80000,Diesel
1780,Hyundai i20 1.4 CRDi Magna,Hyundai,2011,320000,70000,Diesel
1781,Chevrolet Spark 1.0 LS,Chevrolet,2011,169000,41000,Petrol
1782,Volkswagen Polo Petrol Comfortline 1.2L,Volkswagen,2013,350000,50000,Petrol
1783,Ford Classic 1.4 Duratorq Titanium,Ford,2014,350000,113226,Diesel
1784,Ford Figo Diesel Celebration Edition,Ford,2013,310000,90000,Diesel
1785,Maruti Swift 1.3 VXi,Maruti,2007,150000,70000,Petrol
1786,Mahindra Scorpio M2DI,Mahindra,2010,420000,160500,Diesel
1787,Maruti Ciaz AT ZXi,Maruti,2015,685000,30000,Petrol
1788,Renault Duster 4x4,Renault,2014,560000,132000,Diesel
1789,Maruti Swift VDI,Maruti,2013,470000,120000,Diesel
1790,Hyundai Verna Transform VTVT,Hyundai,2011,380000,80000,Petrol
1791,Mahindra Scorpio 1.99 S6 Plus,Mahindra,2015,670000,57000,Diesel
1792,Maruti Swift Dzire LXI 1.2 BS IV,Maruti,2018,550000,5000,Petrol
1793,Hyundai Verna 1.6 VTVT SX,Hyundai,2016,749000,25000,Petrol
1794,Hyundai Creta 1.6 CRDi SX Option,Hyundai,2015,899000,80000,Diesel
1795,Chevrolet Optra Magnum 2.0 LS BSIII,Chevrolet,2011,290000,88000,Diesel
1796,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,2014,869999,217000,Diesel
1797,Datsun GO Plus A,Datsun,2015,350000,60000,Petrol
1798,Maruti Swift Dzire VXI,Maruti,2017,500000,43000,Petrol
1799,Skoda Rapid 1.5 TDI AT Ambition Plus,Skoda,2014,400000,77000,Diesel
1800,Renault KWID RXT,Renault,2016,260000,30000,Petrol
1801,Maruti Alto 800 LXI,Maruti,2015,220000,40000,Petrol
1802,Chevrolet Enjoy TCDi LS 8 Seater,Chevrolet,2014,190000,139000,Diesel
1803,Hyundai Grand i10 Magna,Hyundai,2016,400000,80000,Petrol
1804,Chevrolet Beat Diesel LT Option,Chevrolet,2014,170000,76000,Diesel
1805,Hyundai Elite i20 Magna Plus BSIV,Hyundai,2019,650000,3500,Petrol
1806,Maruti 800 AC BSIII,Maruti,2007,60000,62000,Petrol
1807,Tata New Safari 4X2,Tata,2007,300000,110000,Petrol
1808,Chevrolet Spark 1.0 LT,Chevrolet,2012,125000,40000,Petrol
1809,Tata Indica Vista Aqua 1.3 Quadrajet (ABS),Tata,2013,130000,120000,Diesel
1810,Mahindra XUV500 W6 2WD,Mahindra,2012,500000,1500000,Diesel
1811,Maruti Alto LX,Maruti,2011,170000,70000,Petrol
1812,Maruti Swift Dzire LDi,Maruti,2012,310000,77000,Diesel
1813,Chevrolet Spark 1.0 LT,Chevrolet,2011,130000,110000,Petrol
1814,Maruti Wagon R VXI Optional,Maruti,2016,465000,20000,Petrol
1815,Mahindra Jeep MM 540,Mahindra,1995,160000,90000,Diesel
1816,Mercedes-Benz E-Class E270 CDI,Mercedes-Benz,2005,800000,120005,Diesel
1817,Maruti Alto K10 Knightracer,Maruti,2012,260000,16830,Petrol
1818,Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,Mahindra,2013,500000,70000,Diesel
1819,Renault KWID 1.0 RXT 02 Anniversary Edition,Renault,2017,325000,38000,Petrol
1820,Mahindra Bolero 2011-2019 DI NON AC BS III White,Mahindra,2013,400000,80000,Diesel
1821,Toyota Fortuner 2.8 4WD MT BSIV,Toyota,2018,3200000,50000,Diesel
1822,Tata Indica V2 DLE BSIII,Tata,2007,200000,50000,Diesel
1823,Mahindra Quanto C2,Mahindra,2013,450000,52000,Diesel
1824,Tata Indigo V BSIII,Tata,2012,229999,50000,Diesel
1825,Hyundai EON Magna Plus,Hyundai,2016,340000,30000,Petrol
1826,Mahindra Bolero 2011-2019 SLE BSIII,Mahindra,2014,550000,103000,Diesel
1827,Ford Endeavour 3.0L 4X4 AT,Ford,2011,975000,93468,Diesel
1828,Volvo XC40 D4 Inscription BSIV,Volvo,2019,3800000,20000,Diesel
1829,Volkswagen Jetta 1.6 Trendline,Volkswagen,2010,225000,80000,Petrol
1830,Ford Endeavour 3.2 Titanium AT 4X4,Ford,2018,3250000,12000,Diesel
1831,Tata Indigo eCS VX BSIV,Tata,2013,280000,70000,Diesel
1832,Honda Amaze V Petrol BSIV,Honda,2019,700000,4500,Petrol
1833,Tata Indigo CS eLX BS IV,Tata,2012,259000,35000,Diesel
1834,Toyota Fortuner 2.8 4WD AT BSIV,Toyota,2018,3200000,60000,Diesel
1835,Mahindra XUV500 W10 1.99 mHawk,Mahindra,2018,1400000,30000,Diesel
1836,Ford Figo 1.5P Titanium AT,Ford,2015,416000,40000,Petrol
1837,Tata Manza ELAN Quadrajet BS III,Tata,2011,250000,70000,Diesel
1838,Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2010,210000,120000,Diesel
1839,Mahindra Scorpio VLX 2WD BSIII,Mahindra,2008,290000,120000,Diesel
1840,Tata Indigo CS eLS BS IV,Tata,2012,220000,90000,Diesel
1841,Tata Indigo eCS LX BSIV,Tata,2012,246000,35000,Diesel
1842,Maruti Omni E MPI STD BS IV,Maruti,2018,260000,30000,Petrol
1843,Hyundai Creta 1.4 CRDi S,Hyundai,2018,1050000,70000,Diesel
1844,Tata Manza Club Class Quadrajet90 LX,Tata,2012,290000,60000,Diesel
1845,Tata Indigo eCS VX BSIV,Tata,2013,310000,70000,Diesel
1846,Hyundai i20 1.2 Asta,Hyundai,2018,700000,6000,Petrol
1847,Maruti Swift VXI Optional,Maruti,2016,550000,20000,Petrol
1848,Tata Indigo CS LX (TDI) BS-III,Tata,2017,450000,70000,Diesel
1849,Honda City i VTEC VX,Honda,2016,773000,65000,Petrol
1850,Tata Tiago 1.2 Revotron XZ,Tata,2017,450000,25000,Petrol
1851,Maruti Eeco 5 Seater AC BSIV,Maruti,2019,409999,10000,Petrol
1852,Maruti 800 Std MPFi,Maruti,2003,45000,35000,Petrol
1853,Nissan Teana XL,Nissan,2014,600000,80000,Petrol
1854,Chevrolet Beat LT,Chevrolet,2010,250000,63000,Petrol
1855,Tata Indica V2 DLS TC,Tata,2008,70000,100000,Diesel
1856,Honda Amaze S i-VTEC,Honda,2019,690000,1303,Petrol
1857,Audi Q5 35TDI Premium Plus,Audi,2018,3975000,31800,Diesel
1858,Lexus ES 300h,Lexus,2019,5150000,20000,Petrol
1859,Jaguar XF 2.0 Diesel Portfolio,Jaguar,2017,3200000,45000,Diesel
1860,Jeep Wrangler 2016-2019 3.6 4X4,Jeep,2017,4100000,17000,Petrol
1861,Toyota Yaris V BSIV,Toyota,2018,1000000,4295,Petrol
1862,Toyota Yaris V BSIV,Toyota,2018,1000000,5229,Petrol
1863,Toyota Camry 2.5 Hybrid,Toyota,2016,2000000,68089,Petrol
1864,Maruti Ciaz 1.3 Alpha,Maruti,2018,925000,23712,Diesel
1865,Honda Jazz VX,Honda,2016,550000,56494,Petrol
1866,Maruti Wagon R VXI BS IV,Maruti,2018,430000,16589,Petrol
1867,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,2013,750000,79328,Diesel
1868,Honda City i VTEC V,Honda,2016,675000,53201,Petrol
1869,Maruti Baleno Delta,Maruti,2017,570000,25272,Petrol
1870,Maruti Vitara Brezza ZDi Plus,Maruti,2017,850000,53619,Diesel
1871,BMW X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
1872,BMW X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
1873,Honda Amaze V CVT Petrol BSIV,Honda,2019,779000,7032,Petrol
1874,Ford Ecosport 1.5 Petrol Ambiente,Ford,2018,640000,6001,Petrol
1875,Tata Indigo CS LS (TDI) BS-III,Tata,2013,250000,80000,Diesel
1876,Renault Duster 110PS Diesel RxZ,Renault,2018,1250000,12000,Diesel
1877,Ford EcoSport 1.5 Petrol Titanium BSIV,Ford,2017,889000,25000,Petrol
1878,Hyundai i20 2015-2017 Asta Option 1.4 CRDi,Hyundai,2017,750000,40000,Diesel
1879,Maruti Swift Ldi BSIV,Maruti,2010,320000,130000,Diesel
1880,Skoda Yeti Ambition 4WD,Skoda,2011,600000,202000,Diesel
1881,Maruti Ciaz S 1.3,Maruti,2018,1000000,40000,Diesel
1882,Maruti Zen LX,Maruti,2000,110000,70000,Petrol
1883,Honda City 2017-2020 GXi,Honda,2008,250000,120000,Petrol
1884,Maruti Swift Dzire VDI,Maruti,2015,600000,60000,Diesel
1885,Maruti Zen Estilo LXI BS IV,Maruti,2009,165000,60000,Petrol
1886,Maruti Alto LXI,Maruti,2004,118000,60000,Petrol
1887,Maruti Baleno Delta 1.3,Maruti,2016,700000,78000,Diesel
1888,Renault Duster 85PS Diesel RxL Optional,Renault,2013,585000,80000,Diesel
1889,Maruti Alto LXi,Maruti,2006,120000,120000,Petrol
1890,Maruti 800 Std MPFi,Maruti,2003,65000,90000,Petrol
1891,Maruti Alto LX,Maruti,2006,150000,100000,Petrol
1892,Maruti Alto Std,Maruti,2009,150000,70000,Petrol
1893,Hyundai Accent VIVA CRDi,Hyundai,2004,170000,160000,Diesel
1894,Mahindra Scorpio 2.6 CRDe,Mahindra,2006,250000,120000,Diesel
1895,Hyundai Accent CRDi,Hyundai,2005,100000,100000,Diesel
1896,Maruti Ertiga VDI,Maruti,2013,599000,60000,Diesel
1897,Chevrolet Cruze LTZ,Chevrolet,2010,250000,135000,Diesel
1898,Maruti Swift VXI Optional,Maruti,2016,570000,90000,Petrol
1899,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2013,440000,75000,Diesel
1900,Toyota Innova 2.5 E Diesel MS 7-seater,Toyota,2005,300000,185000,Diesel
1901,Nissan Micra XV CVT,Nissan,2015,300000,71717,Petrol
1902,Mahindra Scorpio VLX 2WD ABS AT BSIII,Mahindra,2011,500000,150000,Diesel
1903,Maruti Swift Dzire VDI,Maruti,2016,660000,55000,Diesel
1904,Ford Fiesta Classic 1.6 Duratec LXI,Ford,2012,256000,90000,Petrol
1905,Renault KWID 1.0 RXT Optional,Renault,2018,409999,35000,Petrol
1906,Toyota Fortuner 4x4 MT,Toyota,2015,1888000,120000,Diesel
1907,Hyundai Santro Xing GLS LPG,Hyundai,2011,250000,100000,LPG
1908,Honda Civic 1.8 V AT,Honda,2009,280000,40000,Petrol
1909,Mahindra Xylo D2,Mahindra,2010,300000,100000,Diesel
1910,Tata Safari Storme LX,Tata,2016,900000,120000,Diesel
1911,Maruti Zen Estilo VXI BSIV,Maruti,2014,190000,60000,Petrol
1912,Mahindra Bolero Power Plus Plus AC BSIV PS,Mahindra,2019,800000,2000,Diesel
1913,Mahindra Scorpio EX,Mahindra,2012,450000,100000,Diesel
1914,Mahindra Xylo D2 BS III,Mahindra,2015,400000,110000,Diesel
1915,Tata New Safari Dicor VX 4X2 BS IV,Tata,2009,150000,90000,Diesel
1916,Tata Indigo CR4,Tata,2011,200000,84321,Diesel
1917,Mahindra XUV500 W8 AWD,Mahindra,2013,600000,177000,Diesel
1918,Tata Indica Vista Aqua 1.3 Quadrajet,Tata,2010,175000,60000,Diesel
1919,Tata Indigo CS LE (TDI) BS-III,Tata,2008,99000,205000,Diesel
1920,Hyundai i10 Asta,Hyundai,2008,215000,70000,Petrol
1921,Maruti Omni E 8 Str STD,Maruti,2011,190000,70000,Petrol
1922,Renault Duster 110PS Diesel RxL,Renault,2013,520000,126000,Diesel
1923,Ford Endeavour 3.2 Titanium AT 4X4,Ford,2016,2280000,120000,Diesel
1924,Tata Indica Vista TDI LS,Tata,2015,285000,70000,Diesel
1925,Mahindra TUV 300 T4 Plus,Mahindra,2017,660000,82000,Diesel
1926,Maruti 800 Std,Maruti,2004,31504,110000,Petrol
1927,Maruti Swift Dzire VXI,Maruti,2015,515000,45000,Petrol
1928,Nissan Sunny Diesel XL,Nissan,2012,295000,70000,Diesel
1929,Nissan Terrano XL 85 PS,Nissan,2015,700000,80000,Diesel
1930,Mahindra Scorpio Intelli Hybrid S6 Plus,Mahindra,2017,1100000,45000,Diesel
1931,Hyundai EON 1.0 Era Plus,Hyundai,2017,300000,60000,Petrol
1932,Maruti Swift VXI,Maruti,2013,450000,41800,Petrol
1933,Maruti Estilo LXI,Maruti,2010,135000,132000,Petrol
1934,Maruti Swift Dzire VDI,Maruti,2017,700000,50000,Diesel
1935,Ford Figo Diesel ZXI,Ford,2012,250000,40000,Diesel
1936,Maruti Wagon R LXI Minor,Maruti,2009,140000,96000,Petrol
1937,Mahindra Xylo D4 BSIII,Mahindra,2012,250000,117000,Diesel
1938,Hyundai i10 Era,Hyundai,2011,210000,110000,Petrol
1939,Honda Amaze S i-Dtech,Honda,2014,420000,100000,Diesel
1940,Maruti Alto LXi,Maruti,2007,130000,88700,Petrol
1941,Nissan Sunny XL,Nissan,2012,320000,70000,Petrol
1942,Maruti Wagon R LX BSIII,Maruti,2010,200000,110000,Petrol
1943,Maruti Alto 800 LXI,Maruti,2016,310000,15000,Petrol
1944,Mahindra Verito 1.5 D4 BSIII,Mahindra,2012,200000,80000,Diesel
1945,Maruti Ritz VXi,Maruti,2014,350000,50000,Petrol
1946,Hyundai EON Sportz,Hyundai,2018,444000,15000,Petrol
1947,Datsun RediGO T,Datsun,2017,300000,25000,Petrol
1948,Mahindra Verito 1.5 D4 BSIII,Mahindra,2011,225000,57000,Diesel
1949,Mahindra Bolero 2011-2019 ZLX,Mahindra,2012,600000,75000,Diesel
1950,Maruti Eeco 5 Seater AC BSIV,Maruti,2013,260000,26000,Petrol
1951,Hyundai Xcent 1.1 CRDi S Option,Hyundai,2015,375000,160000,Diesel
1952,Maruti Eeco 5 Seater AC BSIV,Maruti,2013,260000,26000,Petrol
1953,Maruti Alto LXi BSIII,Maruti,2010,150000,120000,Petrol
1954,Maruti Alto LXi,Maruti,2014,110000,50000,Petrol
1955,Maruti Alto LX,Maruti,2012,225000,40000,Petrol
1956,Toyota Etios GD,Toyota,2011,400000,90000,Diesel
1957,Maruti Esteem Vxi - BSII,Maruti,2005,93000,120000,Petrol
1958,Honda City i VTEC V,Honda,2017,860000,28000,Petrol
1959,Maruti Swift Dzire LDI,Maruti,2018,650000,50000,Diesel
1960,Maruti Ertiga ZDI,Maruti,2014,650000,90000,Diesel
1961,Hyundai Verna 1.4 CRDi,Hyundai,2016,710000,40000,Diesel
1962,Ford Figo 1.5D Base MT,Ford,2017,430000,113000,Diesel
1963,Maruti Swift Vdi BSIII,Maruti,2011,305000,188000,Diesel
1964,Ford Figo Diesel Titanium,Ford,2011,220000,100000,Diesel
1965,Tata Sumo MKII Turbo 2.0 LX,Tata,2010,150000,225000,Diesel
1966,Mahindra TUV 300 mHAWK100 T8,Mahindra,2017,660000,67000,Diesel
1967,Chevrolet Beat Diesel LT Option,Chevrolet,2011,140000,70000,Diesel
1968,Toyota Corolla Altis JS MT,Toyota,2015,1100000,50000,Petrol
1969,Jaguar XF 2.2 Litre Luxury,Jaguar,2013,2450000,60000,Diesel
1970,Volkswagen Ameo 1.5 TDI Comfortline AT,Volkswagen,2017,625000,34000,Diesel
1971,Honda City 1.5 GXI,Honda,2004,198000,110000,Petrol
1972,Hyundai Santro GS zipPlus,Hyundai,2001,60000,71000,Petrol
1973,Maruti Wagon R LXI,Maruti,2005,130000,140000,Petrol
1974,Honda City Corporate Edition,Honda,2012,540000,100000,Petrol
1975,Hyundai Grand i10 1.2 Kappa Sportz AT,Hyundai,2017,550000,10000,Petrol
1976,Maruti Celerio ZXI Optional,Maruti,2018,475000,30000,Petrol
1977,Audi Q3 2.0 TDI Quattro Premium Plus,Audi,2017,2825000,22000,Diesel
1978,Honda Civic ZX Diesel BSIV,Honda,2020,2125000,5500,Diesel
1979,BMW X1 sDrive20d M Sport,BMW,2018,3350000,18000,Diesel
1980,Toyota Innova Crysta 2.8 GX AT 8S BSIV,Toyota,2018,1800000,20000,Diesel
1981,Hyundai Santro Asta BSIV,Hyundai,2018,540000,7000,Petrol
1982,Force Gurkha Hard Top BS3 4WD,Force,2018,910000,20000,Diesel
1983,Maruti Celerio VXI,Maruti,2019,484999,4875,Petrol
1984,Hyundai Creta 1.6 CRDi AT SX Plus,Hyundai,2020,1950000,2700,Diesel
1985,Maruti Vitara Brezza ZDi,Maruti,2018,950000,58511,Diesel
1986,Ford Figo 1.5D Titanium MT,Ford,2015,365000,105000,Diesel
1987,Mahindra Thar CRDe ABS,Mahindra,2018,900000,26235,Diesel
1988,Tata Nexon 1.5 Revotorq XZ Plus,Tata,2017,919999,26766,Diesel
1989,MG Hector Sharp DCT Dualtone,MG,2020,1900000,1600,Petrol
1990,Mercedes-Benz New C-Class C 220 CDI Elegance MT,Mercedes-Benz,2018,2950000,46000,Diesel
1991,Mahindra Marazzo M2 BSIV,Mahindra,2019,1075000,23000,Diesel
1992,Maruti Swift VXI Optional,Maruti,2017,600000,24522,Petrol
1993,BMW 3 Series 320d,BMW,2017,3200000,13663,Diesel
1994,Skoda Octavia Style Plus 2.0 TDI AT,Skoda,2019,2600000,11000,Diesel
1995,Maruti Vitara Brezza ZDi Plus,Maruti,2016,839000,63000,Diesel
1996,Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,2019,635000,2000,Petrol
1997,Mahindra Scorpio VLX 2WD AIRBAG BSIV,Mahindra,2014,550000,300000,Diesel
1998,Mahindra Logan Diesel 1.5 DLE,Mahindra,2011,180000,190000,Diesel
1999,Honda City i DTEC E,Honda,2015,650000,80000,Diesel
2000,Honda Jazz Select Edition Active,Honda,2011,350000,80000,Petrol
2001,Maruti Alto K10 LXI,Maruti,2015,265000,54000,Petrol
2002,Renault KWID 1.0 RXT Optional,Renault,2018,330000,30000,Petrol
2003,Maruti Eeco 7 Seater Standard BSIV,Maruti,2019,395000,5000,Petrol
2004,Mahindra TUV 300 T8,Mahindra,2015,700000,58945,Diesel
2005,Ford Figo Diesel Titanium,Ford,2012,300000,90000,Diesel
2006,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,2011,650000,375000,Diesel
2007,Maruti Ertiga VDI,Maruti,2013,625000,160000,Diesel
2008,Volkswagen Polo GT TDI,Volkswagen,2014,425000,80000,Diesel
2009,Maruti 800 AC BSII,Maruti,2004,55000,50000,Petrol
2010,Tata Indigo CS LX (TDI) BS-III,Tata,2015,250000,80000,Diesel
2011,Mahindra Bolero 2011-2019 Plus AC,Mahindra,2015,459999,156975,Diesel
2012,Toyota Corolla Altis 1.4 DGL,Toyota,2017,1594000,5000,Diesel
2013,Chevrolet Sail 1.2 LS ABS,Chevrolet,2014,300000,50000,Petrol
2014,Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,2018,950000,27620,Diesel
2015,Mahindra Scorpio LX,Mahindra,2013,484999,120000,Diesel
2016,Mahindra Xylo E8,Mahindra,2009,161000,120000,Diesel
2017,Hyundai i20 Active 1.2 S,Hyundai,2015,500000,58000,Petrol
2018,Nissan Sunny XV,Nissan,2012,350000,50000,Petrol
2019,Maruti Ignis 1.2 AMT Alpha BSIV,Maruti,2017,550000,40000,Petrol
2020,Honda WR-V i-VTEC VX,Honda,2018,850000,7800,Petrol
2021,Maruti Alto 800 LXI,Maruti,2016,240000,50000,Petrol
2022,Ford Endeavour 2.5L 4X2 MT,Ford,2011,950000,68000,Diesel
2023,Maruti Ertiga VXI,Maruti,2015,423000,60000,Petrol
2024,Tata Indigo GLS,Tata,2005,90000,74000,Petrol
2025,Tata New Safari DICOR 2.2 VX 4x2 BS IV,Tata,2011,350000,58000,Diesel
2026,Maruti A-Star Vxi,Maruti,2011,170000,70000,Petrol
2027,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Ford,2015,450000,70000,Petrol
2028,Hyundai i10 Magna,Hyundai,2009,150000,110000,Petrol
2029,Hyundai Santro LP zipPlus,Hyundai,2002,75000,80000,Petrol
2030,Hyundai i20 Sportz 1.4 CRDi,Hyundai,2016,511000,80000,Diesel
2031,Maruti Ertiga 1.5 VDI,Maruti,2018,850000,59000,Diesel
2032,Tata Indica V2 eLS,Tata,2018,250000,110000,Diesel
2033,Maruti Celerio ZXI,Maruti,2020,420000,25000,Petrol
2034,Maruti Alto 800 LXI,Maruti,2014,180000,55000,Petrol
2035,Maruti Celerio ZDi,Maruti,2015,400000,25000,Diesel
2036,Mahindra Xylo E4,Mahindra,2009,150000,300000,Diesel
2037,Ford Figo 1.5D Titanium MT,Ford,2016,500000,143200,Diesel
2038,Jeep Compass 2.0 Longitude Option BSIV,Jeep,2017,1689999,60000,Diesel
2039,Nissan Micra Diesel XV Premium,Nissan,2012,204999,120000,Diesel
2040,Maruti Ciaz VDi Plus,Maruti,2014,459999,145000,Diesel
2041,Hyundai i20 2015-2017 Magna 1.2,Hyundai,2017,600000,30000,Petrol
2042,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,Hyundai,2019,585000,8000,Petrol
2043,Ford Endeavour 2.5L 4X2 MT,Ford,2012,551000,170000,Diesel
2044,Maruti Swift Dzire LDI,Maruti,2013,525000,100000,Diesel
2045,Maruti Omni 8 Seater BSIV,Maruti,2012,160000,62000,Petrol
2046,Mahindra XUV500 W8 AWD,Mahindra,2014,825000,110000,Diesel
2047,Hyundai Santro Xing GL CNG,Hyundai,2007,127000,137000,CNG
2048,Chevrolet Tavera Neo 3 LS 9 Str BSIII,Chevrolet,2015,600000,80000,Diesel
2049,Maruti Zen Base,Maruti,2002,65000,80000,Petrol
2050,Maruti Swift Dzire VDI,Maruti,2013,550000,100000,Diesel
2051,Mahindra Bolero 2011-2019 Plus - AC BSIII,Mahindra,2015,650000,120000,Diesel
2052,Maruti Swift Dzire VDI,Maruti,2019,750000,24000,Diesel
2053,Mahindra KUV 100 mFALCON D75 K8,Mahindra,2017,380000,80000,Diesel
2054,Hyundai Verna 1.6 SX CRDi (O),Hyundai,2012,400000,138000,Diesel
2055,Maruti Wagon R LXI,Maruti,2003,50000,147000,Petrol
2056,Mahindra TUV 300 mHAWK100 T8 Dual Tone,Mahindra,2017,750000,60000,Diesel
2057,Chevrolet Spark 1.0 LS,Chevrolet,2011,150000,80000,Petrol
2058,Maruti Alto 800 LXI,Maruti,2016,245000,50000,Petrol
2059,Tata Manza Club Class Quadrajet90 VX,Tata,2013,260000,189000,Diesel
2060,Volkswagen Vento 1.5 TDI Highline AT,Volkswagen,2014,411000,90000,Diesel
2061,Hyundai i20 Sportz 1.4 CRDi,Hyundai,2014,450000,56000,Diesel
2062,BMW 3 Series 320d Luxury Line,BMW,2012,1300000,140000,Diesel
2063,Maruti Celerio VXI,Maruti,2016,351000,60000,Petrol
2064,Mahindra XUV500 W8 4WD,Mahindra,2012,550000,130000,Diesel
2065,BMW 3 Series 320d Luxury Plus,BMW,2013,1300000,140000,Diesel
2066,Tata Manza Club Class Quadrajet90 VX,Tata,2013,260000,189000,Diesel
2067,Volkswagen Vento 1.5 TDI Highline AT,Volkswagen,2014,411000,90000,Diesel
2068,Hyundai i20 Sportz 1.4 CRDi,Hyundai,2014,450000,56000,Diesel
2069,BMW 3 Series 320d Luxury Line,BMW,2012,1300000,140000,Diesel
2070,Maruti Celerio VXI,Maruti,2016,351000,60000,Petrol
2071,Mahindra XUV500 W8 4WD,Mahindra,2012,550000,130000,Diesel
2072,BMW 3 Series 320d Luxury Plus,BMW,2013,1300000,140000,Diesel
2073,Nissan Terrano XE 85 PS,Nissan,2016,750000,35000,Diesel
2074,Nissan Terrano XL 85 PS,Nissan,2015,800000,35000,Diesel
2075,Tata New Safari DICOR 2.2 EX 4x2,Tata,2011,350000,156000,Diesel
2076,Maruti Alto 800 LX,Maruti,2013,200000,90000,Petrol
2077,Tata Indigo LS,Tata,2008,150000,60000,Diesel
2078,Nissan Terrano XL 110 PS,Nissan,2016,800000,36000,Diesel
2079,Hyundai EON Era Plus Sports Edition,Hyundai,2017,350000,20000,Petrol
2080,Tata New Safari DICOR 2.2 VX 4x2,Tata,2011,350000,160000,Diesel
2081,Mahindra Scorpio 2.6 Turbo 9 Str,Mahindra,2006,250000,185000,Diesel
2082,Tata Indica Vista Terra 1.4 TDI,Tata,2010,170000,110000,Diesel
2083,Renault KWID RXT Optional,Renault,2018,395000,10800,Petrol
2084,Mahindra Bolero 2011-2019 SLE,Mahindra,2012,450000,120000,Diesel
2085,Maruti Ignis 1.2 Delta BSIV,Maruti,2019,500000,15000,Petrol
2086,Tata Sumo EX 10/7 Str BSIII,Tata,2012,200000,67500,Diesel
